age_cat,stab,variable,value
80+,SC,male,53815
80+,SD,male,12296
80+,TN,male,73478
80+,TX,male,240002
80+,UT,male,26185
80+,VA,male,90074
80+,VT,male,11266
80+,WA,male,81674
80+,WI,male,79037
80+,WV,male,26606
80+,WY,male,6891
05,AK,female,31373
05,AL,female,172063
05,AR,female,115332
05,AZ,female,253542
05,CA,female,1460738
05,CO,female,192467
05,CT,female,111228
05,DC,female,25353
05,DE,female,32257
05,FL,female,650698
05,GA,female,383143
05,HI,female,56323
05,IA,female,113230
05,ID,female,65138
05,IL,female,457241
05,IN,female,244737
05,KS,female,115160
05,KY,female,156190
05,LA,female,177007
05,MA,female,211430
05,MD,female,217669
05,ME,female,36117
05,MI,female,330184
05,MN,female,202100
05,MO,female,220728
05,MS,female,115340
05,MT,female,35578
05,NC,female,352350
05,ND,female,31719
05,NE,female,79328
05,NH,female,35917
05,NJ,female,311715
05,NM,female,79131
05,NV,female,105014
05,NY,female,680797
05,OH,female,395037
05,OK,female,152277
05,OR,female,132325
05,PA,female,417151
05,RI,female,32599
05,SC,female,164980
05,SD,female,35103
05,TN,female,232523
05,TX,female,1144029
05,UT,female,145625
05,VA,female,302541
05,VT,female,16648
05,WA,female,262083
05,WI,female,197927
05,WV,female,61192
05,WY,female,22485
10,AK,female,24873
10,AL,female,151454
10,AR,female,94697
10,AZ,female,227043
10,CA,female,1262789
10,CO,female,181188
10,CT,female,101196
10,DC,female,14615
10,DE,female,29548
10,FL,female,553479
10,GA,female,353418
10,HI,female,45273
10,IA,female,98836
10,ID,female,61764
10,IL,female,410060
10,IN,female,211208
10,KS,female,103706
10,KY,female,134540
10,LA,female,158580
10,MA,female,190685
10,MD,female,185829
10,ME,female,33721
10,MI,female,298379
10,MN,female,180047
10,MO,female,191431
10,MS,female,100947
10,MT,female,32590
10,NC,female,313714
10,ND,female,21719
10,NE,female,65501
10,NH,female,34446
10,NJ,female,271739
10,NM,female,70515
10,NV,female,91581
10,NY,female,561140
10,OH,female,350399
10,OK,female,124655
10,OR,female,124664
10,PA,female,367563
10,RI,female,31901
10,SC,female,151683
10,SD,female,28230
10,TN,female,206025
10,TX,female,1004666
10,UT,female,123430
10,VA,female,259133
10,VT,female,15715
10,WA,female,224378
10,WI,female,182014
10,WV,female,48102
10,WY,female,20828
15,AK,female,23328
15,AL,female,154106
15,AR,female,95895
15,AZ,female,222666
15,CA,female,1238864
15,CO,female,177268
15,CT,female,109271
15,DC,female,13070
15,DE,female,26907
15,FL,female,581434
15,GA,female,351195
15,HI,female,38582
15,IA,female,106905
15,ID,female,58277
15,IL,female,421358
15,IN,female,226785
15,KS,female,94940
15,KY,female,145830
15,LA,female,144951
15,MA,female,189420
15,MD,female,178826
15,ME,female,36948
15,MI,female,314218
15,MN,female,169235
15,MO,female,181486
15,MS,female,104790
15,MT,female,32003
15,NC,female,324470
15,ND,female,22643
15,NE,female,60370
15,NH,female,39138
15,NJ,female,278415
15,NM,female,68403
15,NV,female,98428
15,NY,female,565642
15,OH,female,383047
15,OK,female,135587
15,OR,female,115573
15,PA,female,372135
15,RI,female,28715
15,SC,female,151872
15,SD,female,27591
15,TN,female,205763
15,TX,female,990291
15,UT,female,123353
15,VA,female,253037
15,VT,female,16107
15,WA,female,214703
15,WI,female,171347
15,WV,female,56656
15,WY,female,20793
20,AK,female,21034
20,AL,female,157359
20,AR,female,95669
20,AZ,female,232075
20,CA,female,1294303
20,CO,female,168047
20,CT,female,129099
20,DC,female,22764
20,DE,female,30968
20,FL,female,610258
